董	Aufsicht führen			
繃	aufspannen			
纏	aufspulen			
跺	aufstampfen			
起	aufstehen			
昇	aufsteigen		ansteigen (Börse)	w
騰	aufsteigen		brodeln	w
設	aufstellen		Ausrüstung	w
駕	aufstellen		Führerschein	w
蹋	aufsuchen			
浮	auftauchen			
劈	aufteilen			
塗	auftragen			
聳	auftürmen			
醒	aufwachen			
憬	aufwecken			
繞	aufwickeln			
燉	aufwärmen			
誌	Aufzeichnung			
養	aufziehen		Nahrung	w
飼	aufziehen		züchten	w
睛	Augapfel			
目	Auge		Radikal	d
眼	Auge		komplett	d
眉	Augenbraue			
眶	Augenhöhle			
瞼	Augenlid			
絨	aus Wolle			
呼	ausatmen			
削	ausbeuten		aB	p
剝	ausbeuten		Ab	p
鋪	ausbreiten			
醞	ausbrüten			
毅	Ausdauer			
延	ausdehnen			
訊	ausfragen			
施	ausführen		Maßnahme	w
履	ausführen		Lebenslauf	w
填	ausfüllen			
資	Ausgaben			
浩	ausgedehnt			
枯	ausgedorrt			
暢	ausgelassen			
佳	ausgezeichnet			
挖	ausgraben		Ab	p
掘	ausgraben		aB	p
持	aushalten		beibehalten	w
耐	aushalten		Geduld	w
熬	aushalten		hartes Leben	d
遞	aushändigen			
掏	aushölen			
磕	ausklopfen			
偵	auskundschaften			
陳	auslegen			
借	ausleihen			
殲	auslöschen			
趁	ausnutzen			
榨	auspressen			
充	ausreichend			
歇	ausruhen			
譴	ausschimpfen			
攆	ausschließen			
濫	ausschließlich			
裁	ausschneiden			
姿	Aussehen		Geste	w
顯	aussehen		demonstrieren	w
貌	Aussehen		Höflichkeit	w
發	aussenden			
羅	aussieben			
簸	aussortieren			
伸	ausstrecken			
挑	aussuchen			
遷	austauschen			
唬	austricksen			
僑	Auswanderer			
躲	ausweichen		verstecken	w
趾	ausweichen		Zeh	w
驅	ausweisen			
揀	auswählen		sortieren	w
擇	auswählen		Partnersuche	w
脫	ausziehen			
籤	Autogramm			
釜	Autoklav			
殊	außergewöhnlich		unterschiedlich	a
瑰	außergewöhnlich		Rose	w
斤	Axt		Radikal	d
斧	Axt		komplett	d
叭	ba			
娃	Baby			
川	Bach		Sichuan	n
溪	Bach		Flüsschen	d
烘	backen			
澡	Bad			
浴	baden			
菌	Bakterium			
竹	Bambus		Feuerwerk	w
筠	Bambus		Haut	d
筐	Bambuskorb			
笆	Bambusmatte			
筍	Bambussprossen			
蕉	Banane			
冊	Band		Buch	d
匪	Bandit		Räuber	a
寇	Bandit		einmarschieren	a
棚	Baracke			
番	Barbar		Tomate	w
獸	Barbar		Monster	w
蠻	barbarisch			
鬍	Bart			
肚	Bauch			
築	bauen			
木	Baum		Radikal	g
樹	Baum		komplett	g
悠	baumeln			
幹	Baumstamm			
棉	Baumwolle			
紗	Baumwollgarn			
