wen	2	文
dun	4	盾
tun	1	吞
lun	2	輪
zun	1	尊
cun	1	村
sun	3	隼
zhun	3	準
chun	1	春
shun	4	順
run	4	潤
gun	3	滚
kun	4	困
hun	1	婚
wang	3	網
zhuang	4	撞
chuang	2	床
shuang	1	雙
guang	1	光
kuang	4	礦
huang	1	慌
weng	1	翁
yu	2	魚
nü	3	女
lü	3	旅
ju	2	局
qu	4	去
xu	1	需
yue	4	月
nüe	4	虐
lüe	4	略
jue	2	覺
que	1	缺
xue	3	雪
yuan	2	園
juan	3	卷
quan	2	拳
xuan	1	宣
yun	2	雲
jun	1	菌
qun	2	裙
xun	2	巡
m	2	呣
n	4	嗯
hm	5	噷
ng	4	唔
yo	1	喲
hng	5	哼
me	5	麼
den	4	扽
dia	3	嗲
lo	5	咯
